ICAO;cidade;estado;pais
SBGR;São Paulo;São Paulo;Brasil
SBRJ;Rio de Janeiro;Rio de Janeiro;Brasil
SBGL;Rio de Janeiro;Rio de Janeiro;Brasil
SBSP;São Paulo;São Paulo;Brasil
KMIA;Miami;Flórida;Estados Unidos
KLAX;Los Angeles;Califórnia;Estados Unidos
